name,address,price,score,foods,recomment,pic
隐食创意食堂(南海路店),南海路17号13-101-301号,未知价格,5.0,日本料理,3,https://dimg04.c-ctrip.com/images/1me4c12000c09iuvm4554_R_220_140.jpg
高家庄米苔目,台北市中山区林森北路279号,￥39,5.0,"快餐简餐, 小吃",5,https://dimg04.c-ctrip.com/images/0105f3224m5whrvfkDC76_R_220_140.jpg
果呀呀(和而不同店),湖南省长沙市天心区路边井街66号,未知价格,5.0,暂无推荐,4,https://dimg04.c-ctrip.com/images/1mh6l12000arbk2ub9192_R_220_140.jpg
筱湘溪·寻味小院,雷锋大道886号,未知价格,5.0,湘菜,8,https://dimg04.c-ctrip.com/images/1me7112000by96sbcFC3B_R_220_140.jpg
屯京拉面(中山北路店),中山北路一段141号,￥61,5.0,"快餐简餐, 日本料理",1,https://dimg04.c-ctrip.com/images/100s0w000000ks7x24D7B_R_220_140.jpg
玖五京菜(万象城店),学府大道388号南昌万象城3楼L318号商铺,￥120,5.0,北京菜,7,https://dimg04.c-ctrip.com/images/0104s12000ebaeto73356_R_220_140.jpg
长沙延年城际酒店·延飨宴,花侯路曲塘路口公交站,未知价格,5.0,湘菜,1,https://dimg04.c-ctrip.com/images/0105412000gxuo7noD8A7_R_220_140.jpg
御竺楼(五彩城店),金马路159号,未知价格,5.0,东北菜,1,https://dimg04.c-ctrip.com/images/1mh4y12000d8mp9lfBAD8_R_220_140.jpg
袁记云饺(仙林苑店),仙林桥直街26号,￥19,5.0,快餐简餐,2,https://dimg04.c-ctrip.com/images/0105a120009hz7yjs3F62_R_220_140.jpg
趣野餐土菜馆·安吉民间味道,蓝天商厦（灵芝东路551号）,￥70,5.0,"江浙菜, 杭帮菜, 农家菜, 本帮菜, 其他中餐",131,https://dimg04.c-ctrip.com/images/0102k12000dd5b1ny24D9_R_220_140.jpg
许府牛(庆春店),庆春路86号世纪联华5楼5F004,￥59,5.0,"火锅, 其他火锅",2,https://dimg04.c-ctrip.com/images/0105o120009u4arr7D8F1_R_220_140.jpg
THE ROOTS 欧伴·手工西餐(东直...,东直门外大街28号（Paddy O‘Shea’s爱尔兰酒吧楼上）,￥137,5.0,西餐,6,https://dimg04.c-ctrip.com/images/1me1u12000cl6hdi5CBDF_R_220_140.jpg
